,solddate,price,beds,baths,sqft,sqftlot,href
"Image for 51 Park Dr, Putnam Valley, NY 10579 is not found","Sold - Jul 8, 2022","$775,000",4bed,2.5bath,"2,538sqft",2.35acre lot,/realestateandhomes-detail/51-Park-Dr_Putnam-Valley_NY_10579_M37629-25654
"Image for 9 Red Oak Ln, Norwalk, CT 06850 is not found","Sold - Jul 7, 2022","$725,000",3bed,2.5bath,"1,743sqft",1.18acre lot,/realestateandhomes-detail/9-Red-Oak-Ln_Norwalk_CT_06850_M44612-39523
"Image for 17 Jarrod Dr, Danbury, CT 06811 is not found","Sold - Jul 7, 2022","$585,000",4bed,2bath,"2,261sqft",1.37acre lot,/realestateandhomes-detail/17-Jarrod-Dr_Danbury_CT_06811_M47775-06315
"Image for 1 Hoyt Rd, Bethel, CT 06801 is not found","Sold - Jul 7, 2022","$560,000",4bed,3bath,"1,766sqft",1.75acre lot,/realestateandhomes-detail/1-Hoyt-Rd_Bethel_CT_06801_M37459-18718
"Image for 5205 Madison Ave, Trumbull, CT 06611 is not found","Sold - Jul 7, 2022","$660,000",4bed,2.5bath,"2,412sqft",1.01acre lot,/realestateandhomes-detail/5205-Madison-Ave_Trumbull_CT_06611_M40127-73132
"Image for 39 Richards Dr, Monroe, CT 06468 is not found","Sold - Jul 7, 2022","$780,000",3bed,2.5bath,"2,280sqft",5acre lot,/realestateandhomes-detail/39-Richards-Dr_Monroe_CT_06468_M35172-73360
"Image for 16 Theresa Ct, Carmel, NY 10512 is not found","Sold - Jul 6, 2022","$760,000",4bed,3.5bath,"4,124sqft",1.38acre lot,/realestateandhomes-detail/16-Theresa-Ct_Carmel_NY_10512_M34575-76744
"Image for 86 Blanket Meadow Rd, Monroe, CT 06468 is not found","Sold - Jul 6, 2022","$730,000",4bed,2.5bath,"3,950sqft",2.27acre lot,/realestateandhomes-detail/86-Blanket-Meadow-Rd_Monroe_CT_06468_M31923-31216
"Image for 151 Brushy Hill Rd, Danbury, CT 06810 is not found","Sold - Jul 6, 2022","$510,000",4bed,2bath,"1,804sqft",3.11acre lot,/realestateandhomes-detail/151-Brushy-Hill-Rd_Danbury_CT_06810_M33677-61604
"Image for 54 Harvey Rd, Ridgefield, CT 06877 is not found","Sold - Jul 6, 2022","$550,000",3bed,2bath,"1,792sqft",2.43acre lot,/realestateandhomes-detail/54-Harvey-Rd_Ridgefield_CT_06877_M42977-65390
"Image for 10 Putnam Hill Dr, Redding, CT 06896 is not found","Sold - Jul 5, 2022","$720,000",4bed,2.5bath,"2,748sqft",2.33acre lot,/realestateandhomes-detail/10-Putnam-Hill-Dr_Redding_CT_06896_M44186-04137
"Image for 183 Banks Rd, Easton, CT 06612 is not found","Sold - Jul 5, 2022","$750,000",3bed,2.5bath,"2,525sqft",3acre lot,/realestateandhomes-detail/183-Banks-Rd_Easton_CT_06612_M36391-58091
"Image for 3 Jays Rd, Monroe, CT 06468 is not found","Sold - Jul 5, 2022","$525,000",3bed,1.5bath,"1,406sqft",1.03acre lot,/realestateandhomes-detail/3-Jays-Rd_Monroe_CT_06468_M39790-15263
"Image for 9 Tory Ln, Newtown, CT 06470 is not found","Sold - Jul 5, 2022","$525,000",2bed,2bath,"1,570sqft",1.96acre lot,/realestateandhomes-detail/9-Tory-Ln_Newtown_CT_06470_M32165-46251
"Image for 15 Edgewood Dr, Carmel, NY 10512 is not found","Sold - Jul 5, 2022","$300,000",2bed,2bath,"1,960sqft",2.16acre lot,/realestateandhomes-detail/15-Edgewood-Dr_Carmel_NY_10512_M44138-09457
"Image for 56 Beach Hill Rd, Trumbull, CT 06611 is not found","Sold - Jul 5, 2022","$487,500",3bed,2bath,"1,506sqft",1.16acre lot,/realestateandhomes-detail/56-Beach-Hill-Rd_Trumbull_CT_06611_M40552-61198
"Image for 32 Deer Hill Rd, Redding, CT 06896 is not found","Sold - Jul 5, 2022","$400,000",4bed,2bath,"1,482sqft",2.19acre lot,/realestateandhomes-detail/32-Deer-Hill-Rd_Redding_CT_06896_M43500-60880
"Image for 6 Tannery Ln N, Weston, CT 06883 is not found","Sold - Jul 5, 2022","$725,000",3bed,2.5bath,"2,681sqft",3.55acre lot,/realestateandhomes-detail/6-Tannery-Ln-N_Weston_CT_06883_M34559-25823
"Image for 43 Hunting Ridge Rd, Stamford, CT 06903 is not found","Sold - Jul 1, 2022","$800,000",4bed,2.5bath,"2,192sqft",1.01acre lot,/realestateandhomes-detail/43-Hunting-Ridge-Rd_Stamford_CT_06903_M43975-60252
"Image for 136 Thunder Hill Dr, Stamford, CT 06902 is not found","Sold - Jul 1, 2022","$695,000",3bed,1.5bath,"1,551sqft",1.01acre lot,/realestateandhomes-detail/136-Thunder-Hill-Dr_Stamford_CT_06902_M33080-62787
"Image for 136 Putnam Park Rd, Bethel, CT 06801 is not found","Sold - Jun 30, 2022","$460,000",4bed,3bath,"2,896sqft",2acre lot,/realestateandhomes-detail/136-Putnam-Park-Rd_Bethel_CT_06801_M37499-06174
"Image for 15 White Birch Rd, Redding, CT 06896 is not found","Sold - Jun 30, 2022","$760,000",3bed,1.5bath,"1,858sqft",2acre lot,/realestateandhomes-detail/15-White-Birch-Rd_Redding_CT_06896_M49529-37925
"Image for 24 Kristy Dr, Bethel, CT 06801 is not found","Sold - Jun 30, 2022","$672,000",4bed,2.5bath,"3,121sqft",1.52acre lot,/realestateandhomes-detail/24-Kristy-Dr_Bethel_CT_06801_M41221-92940
"Image for 141 Boggs Hill Rd, Newtown, CT 06470 is not found","Sold - Jun 30, 2022","$580,000",3bed,3.5bath,"1,668sqft",2.01acre lot,/realestateandhomes-detail/141-Boggs-Hill-Rd_Newtown_CT_06470_M31339-27261
"Image for 23 Split Rock Rd, Newtown, CT 06470 is not found","Sold - Jun 30, 2022","$679,000",5bed,2.5+bath,"3,260sqft",2.44acre lot,/realestateandhomes-detail/23-Split-Rock-Rd_Newtown_CT_06470_M33290-74481
"Image for 76 Jennifer Ln, Mahopac, NY 10541 is not found","Sold - Jun 30, 2022","$750,000",4bed,2bath,"3,139sqft",1.54acre lot,/realestateandhomes-detail/76-Jennifer-Ln_Mahopac_NY_10541_M45694-80670
"Image for 30 Poverty Hollow Rd, Newtown, CT 06470 is not found","Sold - Jun 29, 2022","$670,000",4bed,2.5bath,"2,801sqft",2.27acre lot,/realestateandhomes-detail/30-Poverty-Hollow-Rd_Newtown_CT_06470_M41001-89403
"Image for 1 Wilner Rd, Somers, NY 10589 is not found","Sold - Jun 29, 2022","$795,000",4bed,2bath,"2,754sqft",1.56acre lot,/realestateandhomes-detail/1-Wilner-Rd_Somers_NY_10589_M39769-62945
"Image for 42 Tanglewood Dr, Danbury, CT 06811 is not found","Sold - Jun 29, 2022","$655,000",4bed,2.5bath,"2,897sqft",1.84acre lot,/realestateandhomes-detail/42-Tanglewood-Dr_Danbury_CT_06811_M37217-62164
"Image for 467 Pepper St, Monroe, CT 06468 is not found","Sold - Jun 29, 2022","$650,000",3bed,1bath,"1,080sqft",4.3acre lot,/realestateandhomes-detail/467-Pepper-St_Monroe_CT_06468_M45699-49353
"Image for 25 Felix Ln, Norwalk, CT 06850 is not found","Sold - Jun 29, 2022","$730,000",4bed,2bath,"2,010sqft",1.33acre lot,/realestateandhomes-detail/25-Felix-Ln_Norwalk_CT_06850_M46963-55430
"Image for 33 Old Bethel Rd, Newtown, CT 06470 is not found","Sold - Jun 29, 2022","$540,000",4bed,2.5bath,"1,988sqft",1.53acre lot,/realestateandhomes-detail/33-Old-Bethel-Rd_Newtown_CT_06470_M47354-01914
"Image for 455 Tashua Rd, Trumbull, CT 06611 is not found","Sold - Jun 28, 2022","$651,000",3bed,2.5bath,"1,688sqft",1.16acre lot,/realestateandhomes-detail/455-Tashua-Rd_Trumbull_CT_06611_M37375-68794
"Image for 48 Putnam Park Rd, Redding, CT 06896 is not found","Sold - Jun 28, 2022","$570,000",4bed,2bath,"1,198sqft",2.26acre lot,/realestateandhomes-detail/48-Putnam-Park-Rd_Redding_CT_06896_M48131-64747
"Image for 32 Cross Hwy, Redding, CT 06896 is not found","Sold - Jun 27, 2022","$540,000",4bed,3bath,"1,758sqft",2acre lot,/realestateandhomes-detail/32-Cross-Hwy_Redding_CT_06896_M44838-86028
"Image for 13 Gilbert Ln, Putnam Valley, NY 10579 is not found","Sold - Jun 27, 2022","$800,000",3bed,2.5bath,"1,981sqft",1.31acre lot,/realestateandhomes-detail/13-Gilbert-Ln_Putnam-Valley_NY_10579_M44896-04347
"Image for 7 Dowling Dr, Ridgefield, CT 06877 is not found","Sold - Jun 27, 2022","$700,000",3bed,3bath,"1,980sqft",3.51acre lot,/realestateandhomes-detail/7-Dowling-Dr_Ridgefield_CT_06877_M37448-39229
,"Sold - Jun 6, 2022","$725,000",4bed,3bath,"2,132sqft",5.31acre lot,/realestateandhomes-detail/175-Old-Church-Ln_Pound-Ridge_NY_10576_M46018-41417
