,price,typ,lat,lon,beds,baths,sqft,zip code,locality
"1 Lot Ten Neighbors Rd Red Hook, NY 12571","$89,900",SingleFamilyResidence,42.024807,-73.734634,2bd,Error,916 sqft (on 5 acres),12571,Red Hook
"264 Old Kings Hwy Lake Katrine, NY 12449","$389,000",SingleFamilyResidence,42.016415,-73.995644,3bd,Error,"1,912 sqft (on 2.46 acres)",12449,Lake Katrine
"1480 US Highway 9 Tivoli, NY 12583","$519,900",SingleFamilyResidence,42.065819,-73.836555,3bd,Error,"2,590 sqft (on 2 acres)",12583,Tivoli
"1929 Route 9G Staatsburg, NY 12580","$525,000",SingleFamilyResidence,41.84449,-73.897995,2bd,Error,"2,782 sqft (on 2.98 acres)",12580,Staatsburg
"465 Plutarch Rd New Paltz, NY 12528","$529,000",SingleFamilyResidence,41.772915,-74.026894,3bd,Error,"1,588 sqft (on 8 acres)",12528,New Paltz
"7 Sheeley Dr Rosendale, NY 12472","$349,000",SingleFamilyResidence,41.863731,-74.046379,2bd,Error,576 sqft (on 13.42 acres),12472,Rosendale
"18 Country Ln Garrison, NY 10524","$549,000",SingleFamilyResidence,41.335323,-73.925728,4bd,Error,"3,268 sqft (on 5.78 acres)",10524,Garrison
"1227 Hearts Content Rd Round Top, NY 12473","$475,000",SingleFamilyResidence,42.259201,-74.022255,5bd,Error,"1,808 sqft (on 3 acres)",12473,Round Top
"443 Oscawana Lake Rd Putnam Valley, NY 10579","$399,000",SingleFamilyResidence,41.383904,-73.845573,2bd,Error,"2,911 sqft (on 2.55 acres)",10579,Putnam Valley
"1236 County Route 6 Germantown, NY 12526","$379,000",SingleFamilyResidence,42.086872,-73.829338,4bd,Error,"2,231 sqft (on 2.04 acres)",12526,Germantown
"4 Old Grange Rd Hopewell Junction, NY 12533","$539,000",SingleFamilyResidence,41.541229,-73.851173,3bd,Error,"2,176 sqft (on 2.02 acres)",12533,Hopewell Junction
"2603 Rod And Gun Rd Hudson, NY 12534","$529,900",SingleFamilyResidence,42.288383,-73.757835,4bd,Error,"1,810 sqft (on 4.80 acres)",12534,Hudson
"876 South St Highland, NY 12528","$597,000",SingleFamilyResidence,41.637592,-74.044067,5bd,Error,"1,923 sqft (on 30 acres)",12528,Highland
"1260 State Route 82 Ancram, NY 12502","$350,000",SingleFamilyResidence,42.10891,-73.697098,2bd,Error,720 sqft (on 7.04 acres),12502,Ancram
Error,Error,Error,Error,Error,,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error
"4514 State Route 32 Catskill, NY 12414","$192,000",SingleFamilyResidence,42.18309,-73.984085,3bd,Error,"1,880 sqft (on 2.82 acres)",12414,Catskill
